,name,enrolled,passed
249,Pokročilá algoritmizace [01PALG],8,4
250,Pokročilá výpočetní analýza jaderných reaktorů [17XVAR],2,0
251,Pokročilé laserové spektroskopie [12PLS],2,0
252,Pokročilé partie numerické lineární algebry [01PNLA],13,8
253,Pokročilé praktikum z laserové techniky [12PPLT],5,5
254,Pokročilé praktikum z optiky [12PPRO],2,2
255,Práce s odborným textem 1 [04ABO1],9,7
256,Praktická informatika pro inženýry 1 [818PIN1],9,7
257,Praktická informatika pro inženýry 2 [12PIN2],29,6
258,Praktika fyziky plazmatu 1 [02PRPL1],6,6
259,Praktikum metod konečných prvků [14PMKP],4,0
260,Praktikum z analytické chemie [15ALPN],16,11
261,Praktikum z detekce a dozimetrie ionizujícího záření [16PDZ],7,5
262,Praktikum z detekce a dozimetrie ionizujícího záření pro bakaláře [16PDZB],8,2
263,Praktikum z elektroniky 1 [12EP1],10,8
264,Praktikum z elektroniky 1 [12EPR1],6,5
265,Praktikum z fyzikální chemie [15PFCH],10,2
266,Praktikum z jaderné chemie [15PJCH],7,7
267,Praktikum z makromolekulární krystalografie 1 [11PMK1],3,3
268,Praktikum z metod měření ionizujícího záření [16PMM],1,0
269,Praktikum z organické chemie [15POCH],12,10
270,Praktikum z radiochemické techniky [15RATEC],10,7
271,Pravděpodobnost a aplikovaná statistika [18AST],8,5
272,Pravděpodobnost a statistika [01PRST],41,21
273,Pravděpodobnost a statistika [18PST],2,2
274,Pravděpodobnostní modely učení [01PMU],2,0
275,Pravděpodobnostní modely umělé inteligence [01UMIN],11,4
276,Předdiplomní praxe [14PRAXE],4,4
277,Prezentace a interpretace textu [04ABI],5,3
278,Principy etického chování ve zdravotnictví [16EZB],5,4
279,Příprava radionuklidů [15PRN],7,3
280,Přípravný kurz z matematiky 1 [818PKM1],12,6
281,Přípravný týden [00PT],283,245
282,Přístrojová technika [17PTA],1,1
283,Programátorské praktikum [01PROP],7,4
284,Programování periferií [01PERI],7,7
285,Programování pro .NET [18NET],2,0
286,Programování pro Windows [01PW],9,9
287,Programování v C++ 1 [18PRC1],70,12
288,Programování v C++ 1 [818PRC1],5,1
289,Programování v JAVĚ [18PJ],13,3
290,Programování v Javě 1 [818JAV1],8,0
291,Programování v MATLABu [18MPT],17,4
292,Programování v MATLABU [818MTL],6,2
293,Projektové praktikum 1 [02PPRA1],8,8
294,"Prostředí webu, programovací a popisné jazyky [18WEB]",4,2
295,"Prostředí WEBu, programovací a popisné jazyky [818WEB]",9,8
296,Průmyslový vývoj softwaru [18PVS],3,3
297,Publikační systém LaTeX [818PSL],3,1
298,Působení ionizujícího záření na látku [16REB],5,5
299,Radiační metody v biologii a medicíně [15RMBM],9,8
300,Radiační ochrana [16RAO],17,11
301,Radiochemie stop [15STP],8,7
302,Radiofarmaka 1 [15RDFM],8,4
303,Radiofarmaka 2 [15RFM2],3,3
304,Radiologická fyzika-nukleární medicína [16RFNM],6,5
