,name,enrolled,passed
405,Výzkumný úkol 1 [15VUCH1],1,1
406,Výzkumný úkol 1 [16VURF1],1,1
407,Výzkumný úkol 1 [17VUJR1],1,1
408,Výzkumný úkol 1 [18VUSE1],3,3
409,Výzkumný úkol 2 [01VUAM2],12,11
410,Výzkumný úkol 2 [01VUMM2],4,4
411,Výzkumný úkol 2 [01VUSI2],10,9
412,Výzkumný úkol 2 [02VUEF2],9,9
413,Výzkumný úkol 2 [02VUMF2],7,6
414,Výzkumný úkol 2 [02VUTF2],5,4
415,Výzkumný úkol 2 [11VUIP2],1,1
416,Výzkumný úkol 2 [12VUIF2],3,2
417,Výzkumný úkol 2 [12VULT2],5,5
418,Výzkumný úkol 2 [12VUOF2],9,7
419,Výzkumný úkol 2 [15VUCH2],5,5
420,Výzkumný úkol 2 [16VUDZ2],1,1
421,Výzkumný úkol 2 [16VURF2],3,3
422,Výzkumný úkol 2 [17VUJR2],12,11
423,Výzkumný úkol 2 [18VUSE2],10,8
424,Zahr. stáž v rámci programů výměny studentů přes rektorát [00ZST2],9,9
425,Základní praktikum [16ZPRA],27,23
426,Základní praktikum z laserové techniky [12ZPLT],13,12
427,Základní praktikum z optiky [12ZPOP],18,18
428,Základy algoritmizace [18ZALG],128,48
429,Základy algoritmizace [818ZALG],14,9
430,Základy analytických měřicích metod [16AMMB],10,6
431,Základy atomové a jaderné fyziky [02ZAJF],21,8
432,Základy biochemie [15ZBCHN],24,14
433,"Základy biologie, anatomie a fyziologie člověka 2 [16ZBAF2]",18,12
434,Základy dozimetrie [16ZDO],1,1
435,Základy dozimetrie [16ZDOZ2],25,22
436,Základy elektroniky 2 [12ZEL2],49,14
437,Základy fyzikálních měření 2 [02ZFM2],80,55
438,Základy fyziky jaderných reaktorů [17ZAFP],3,3
439,Základy fyziky jaderných reaktorů 2 [17ZAF2],17,10
440,Základy fyziky kondenzovaných látek [11ZFKL],4,4
441,Základy fyziky plazmatu [12ZFP],15,10
442,Základy konstrukce a funkce jader. elektráren [15ZKJE],10,7
443,Základy kvantové chromodynamiky [02ZQCD],6,6
444,Základy operačních systémů [01ZOS],32,31
445,Základy standardního modelu mikrosvěta [02ZSM],5,0
446,Základy strojírenské technologie [02ZST],2,2
447,Základy teorie informace [18ZTI],20,15
448,Základy teorie reprezentací a Lieových algeber [01TRLA],4,2
449,Základy umělé inteligence [12ZUMI],3,3
450,Zkoušení a zpracování kovů a slitin [14ZZKS],4,3
451,Zobecněné lineární modely a aplikace [01ZLIM],19,15
452,Zpracování a rozpoznávání obrazu 1 [01ROZ1],34,31
453,Zpracování diagnostických signálů [01ZSIG],7,0
454,ZVLÁŠTNÍ ZÁPIS [00ZZ2],4,0
