,name,enrolled,passed
195,Numerické metody [12NME1],108,60
196,Numerické metody 2 [01NME2],41,22
197,Numerické simulace problémů proudění [01NSPP],2,0
198,Obecná anatomie a fyziologie člověka 2 [16OAF2],3,3
199,Obecná chemie 2 [15CH2],78,43
200,Obecná teorie relativity [02OR],19,7
201,Operátorský kurz pro bakaláře [17OPKB],9,9
202,Optické senzory [12OSE],17,17
203,Optické spektroskopie [12OPS],8,7
204,Optoelektronika [12OPEL],14,11
205,Organická chemie 1 [15ORC1],22,14
206,Otevřené kvantové systémy [02OKS],0,0
207,Paralelní algoritmy a architektury [01PAA],27,14
208,Patofyziologie a zobrazovací metody [16PAFZB],6,6
209,"Patologie,anatomie a fyziologie v zobrazovacích metodách 1 [16PAFZ1]",7,6
210,"Pevnolátkové, diodové a barvivové lasery [12PDBL]",3,3
211,Plasticita 1 [14PLAS1],4,4
212,Plynové a rentgenové lasery [12RTGL],6,5
213,Počítače a přirozený jazyk 2 [01POPJ2],2,1
214,Počítačová grafika 2 [01POGR2],23,11
215,Počítačová mechanika [14PME],2,1
216,Počítačové modelování plazmatu [02PMPL],12,6
217,Počítačové řízení experimentu [D12POEX],4,4
218,Počítačové řízení experimentů [12POEX],6,3
219,Počítačové simulace ve fyzice mnoha částic 2 [12SFMC2],1,0
220,Počítačové sítě 2 [01SITE2],18,10
221,Pokročilá pravděpodobnost [01POPR],17,11
222,Pokročilé algoritmy 2 [18UIA2],4,2
223,Pokročilejší partie kvantové teorie [02PPKT],1,0
224,Pokročilé metody přepracování vyhořelého paliva a technologie solných reaktorů [17PPSR],11,6
225,Pokročilé numerické metody [01PNM],19,14
226,Pokročilé programovací techniky [18PPT],15,12
227,Pokročilé programovací techniky [818PPT],11,6
228,Polovodičové detektory [11DETE],1,0
229,Povrchy a rozhrani [11POR],11,10
230,Práce s odborným textem 2 [04ABO2],8,7
231,Praktická informatika pro inženýry 1 [12PIN1],57,29
232,Praktická informatika pro inženýry 1 [818PIN1],10,10
233,Praktická informatika pro inženýry 3 [12PIN3],32,11
234,Praktika fyziky plazmatu 2 [02PRPL2],10,7
235,Praktikum z detekce ionizujícího záření [15DEIZ],17,14
236,Praktikum z dozimetrie ionizujícího záření [16PDIZ],10,10
237,Praktikum z elektroniky 2 [12EP2],2,2
238,Praktikum z instrumentálních metod [15PINS],17,15
239,Praktikum z laserové medicíny [12PLM],8,8
240,Praktikum z makromolekulární krystalografie 2 [11PMK2],1,1
241,Praktikum z radiační chemie [15PRACH],8,8
