,name,enrolled,passed
275,Prezentace a interpretace textu [04ABI],9,7
276,Principy a aplikace optických sensorů [11PAO],1,0
277,Principy aplikací ionizujícího záření [16UAZB],5,0
278,Principy etického chování ve zdravotnictví [16EZB],8,7
279,Problematika neionizujícího záření [16FNZB],1,1
280,Programátorské praktikum [01PROP],10,3
281,Programování periferií [01PERI],14,13
282,Programování pro .NET [18NET],8,1
283,Programování pro Windows [01PW],20,19
284,Programování v C++ 1 [18PRC1],78,37
285,Programování v C++ 1 [818PRC1],13,10
286,Programování v JAVĚ [18PJ],28,7
287,Programování v Javě 1 [818JAV1],7,5
288,Programování v MATLABu [18MTL],46,7
289,Programování v MATLABU [818MTL],13,10
290,Projektové praktikum 1 [02PPRA1],11,11
291,"Prostředí webu, programovací a popisné jazyky [18WEB]",13,8
292,"Prostředí WEBu, programovací a popisné jazyky [818WEB]",8,8
293,Průmyslový vývoj softwaru [18PVS],5,5
294,Přibližné výpočty v kvantové mechanice 1 [02NVKM1],11,8
295,Příprava radionuklidů [15PRN],9,5
296,Přípravný kurz z matematiky 1 [818PKM1],22,10
297,Přípravný týden [00PT],364,284
298,Přístroje jaderné techniky [17PRJT],9,8
299,Přístrojová technika [17PTA],1,0
300,Publikační systém LaTeX [818PSL],8,5
301,Působení ionizujícího záření na látku [16REB],11,0
302,Radiační efekty v látce [16REL],9,7
303,Radiační ochrana [16RAO],20,15
304,Radiofarmaka 1 [15RDFM],5,1
305,Radiofarmaka 2 [15RFM2],5,4
306,Radiologická fyzika-nukleární medicína [16RFNM],7,5
307,Radiologická fyzika-radioterapie 2 [16RFRT2],4,2
308,Radiologická fyzika-rentgenová diagnostika [16RFRD],7,5
309,Radiologická technika-nukleární medicína [16RTNM],7,0
310,Radiologická technika-rentgenová diagnostika [16RTDG],9,1
311,Radioterapie-klinická praxe 2 [16RTKP2],4,1
312,Regresní analýza dat [01REGA],17,13
313,Regulace a senzory [12RSEN],3,2
314,Relativistická fyzika 1 [02REL1],7,3
315,Rentgenová diagnostika-klinická praxe [16RDKP],7,6
316,Rentgenová diagnostika - klinická praxe pro techniky [16RDKB],7,3
317,Rentgenová fotonika [12RFO],14,13
318,Rovnice matematické fyziky [01RMF],83,36
319,Rozhovory o kvark-gluonovém plazmatu 1 [02RQGP1],9,9
320,Rozhovory o kvark-gluonovém plazmatu 3 [02RQGP3],6,5
321,Rozhovory o kvark-gluonovém plazmatu 5 [02RQGP5],5,5
322,Rozvíjení řečových dovedností 1 [04ABK1],42,14
323,Rozvíjení řečových dovedností 3 [04ABK3],9,8
324,Ruština M1 [04RM1],4,4
325,Ruština M3 [04RM3],13,8
326,Ruština P1 [04RP1],1,1
327,Ruština Z2 [04RZ2],14,12
328,Ruština Z4 [04RZ4],21,18
329,Řízení jaderných elektráren [17RJE],6,0
330,Řízení softwarových projektů [01RSWP],2,0
331,Samovolně rostoucí struktury vybraných nanomateriálů [12SRS],3,0
332,Semestrální práce [16SEPB],1,0
333,Seminář FTTF1 [02STF1],7,1
334,Seminář k bakalářské práci [18SBAK],2,0
335,Seminář k bakalářské práci 1 [12SBA1],1,1
336,Seminář k diplomové práci 1 [12DSEIF1],3,2
337,Seminář k diplomové práci 1 [12DSELT1],3,3
338,Seminář k diplomové práci 1 [12DSEOF1],10,10
339,Seminář k diplomové práci 1 [18SDI1],11,9
340,Seminář matematické fyziky [02SMF],25,18
341,Seminář současné matematiky 1 [01SSM1],16,14
342,Seminář z dozimetrie 1 [16SED1],14,14
343,Seminář z matematické analýzy B1 [01SMB1],62,56
344,Seminář 1 [02SEMI1],8,8
345,Seminář 1 [11SMI1],3,3
346,Seminář 1 [15SEM1],5,3
347,Seminář 1 [16SEM1],6,5
348,Seminář 3 [11SMI3],2,2
349,Separační metody v jaderné chemii 1 [15SMJ1],9,5
350,Skenovací elektronová mikroskopie a metody mikrosvazkové analýzy [11SEM],1,1
351,Sociální systémy a jejich simulace [01SSS],16,11
352,Softcomputing [18SOFC],20,10
353,Softwarové inženýrství [18SWI],16,11
354,Softwarový projekt 1 [01SWP1],2,1
355,Softwarový projek 3 [01SWP3],3,1
356,Softwarový seminář 1 [01SOS1],24,23
357,Souborná zkouška z matematiky B [01SZMB],3,0
358,Specializované praktikum 1 [02SPRA1],2,2
359,Spektrometrie v dozimetrii [16SPDO],2,2
360,Spolehlivost jaderných elektráren [17SPJE],10,9
361,Správa operačních systémů [818OSY],22,10
362,Statistická optika [12SOP],8,6
363,Statistické metody rozpoznávání a rozhodování [18SROZ],18,14
364,Statistické zpracování dat [02SSD],10,5
365,Stochastické metody v reaktorové fyzice [17SMRF],9,5
366,Stochastické systémy [01STOS],6,1
367,Stroje a zařízení jaderných elektráren [17SAZ],11,1
368,Struktura a funkce biologických molekul [11SFBM],2,2
369,Struktura pevných látek 1 [11SPL1],6,5
370,Subatomová fyzika [02SF],17,11
371,Supravodivost a fyzika nízkých teplot [11SUPR],8,7
372,Systematizace jazykových prostředků 1 [04ABS1],43,15
373,Systematizace jazykových prostředků 3 [04ABS3],11,9
374,Španělština M1 [04SM1],6,2
375,Španělština M3 [04SM3],6,6
376,Španělština P1 [04SP1],1,1
377,Španělština P3 [04SP3],1,1
378,Španělština Z2 [04SZ2],12,7
379,Španělština Z4 [04SZ4],9,8
380,Technická mechanika [14TEM],3,3
381,Technická mechanika [14TM],21,18
382,Technologické celky jaderných elektráren 1 [17TCJ1],10,10
